id;title;maker;culture;period;creation_date;object_name;medium;description;credit_line;filename;dimensions;element_type;size_s_m_l
22891;Cuisine ;MAN RAY;;;1931;photograph;photogravure;;Museum purchase;IMG_92.18.H.jpg;sheet: 10 13/16 x 14 3/4 in. (27.5 x 37.5 cm)image: 7 13/16 x 10 1/4 in. (19.8 x 26 cm)frame: 14 3/4 x 18 7/8 x 1 7/8 in. (37.5 x 47.9 x 4.8 cm);image;small
4284;Seeing Santa Claus;Thomas Nast;;;no date;engraving;steel engraving on paper;paper is probably alum-rosin sized;Gift of Mabel Nast Crawford and Cyril Nast;IMG_49.17.51.jpg;Overall: 11 9/16 x 8 3/4 in. (29.4 x 22.3 cm);Overall;medium
9139;Woman and Child by the Sea;Jean Baptiste Isabey;;;no date;painting;oil on panel;;Gift of  Barbara Howes Smith and Mrs. Richard D. Grant;IMG_74.13.jpg;Overall: 13 1/4 x 9 1/4 in. (33.7 x 23.5 cm);Overall;medium
11140;Poster for Sanchez exhibition at WCMA (Lawrence Hall);Emilio Sanchez;;;1978;lithograph;color lithograph on paper;;Gift of the artist;IMG_78.18.1.jpg;frame: 22 1/4 x 16 1/4 in. (56.5 x 41.2 cm);;
19524;River Scene;Eugène Louis Boudin;;;1891;watercolor;watercolor on paper;;Museum purchase;IMG_47.3.jpg;Overall: 8 5/8 x 6 7/16 in. (21.9 x 16.3 cm)frame: 15 3/8 x 12 5/16 in. (39 x 31.3 cm);Overall;small
8912;Black Beetle;Henry DiSpirito;;;ca. 1954;sculpture;stone;;Gift of the artist;IMG_55.10.jpg;Overall: 7 1/2 x 6 5/16 x 11 5/8 in. (19 x 16 x 29.5 cm);Overall;small
2700;A man and a horse;Marino Marini;;;1949;drawing;ink and gouache on paper;;Museum purchase;IMG_50.6.jpg;Overall: 15 9/16 x 11 11/16 in. (39.5 x 29.7 cm)frame: 21 1/16 x 16 15/16 in. (53.5 x 43 cm);Overall;medium
6991;Head of Old Man;George Wooliscroft Rhead;;;no date;etching;etching on paper;;Anonymous gift;IMG_92.17.57.jpg;sheet: 14 13/16 x 10 13/16 in. (37.6 x 27.5 cm)plate: 8 15/16 x 6 in. (22.7 x 15.3 cm);sheet;medium
713;Landscape with water;Philip Gilbert Hamerton;;;no date;etching;etching on paper;two landscapes on one plate;Anonymous gift;IMG_92.17.52.B.jpg;sheet: 18 1/8 x 13 3/4 in. (46 x 34.9 cm)plate: 3 x 5 13/16 in. (7.6 x 14.8 cm);sheet;medium
5019;The Roman Fleet Victorious over the Carthaginians at the Battle of Cape Ecnomus off the coast of Sicily during the First Punic War;Pierre Francois Tardieu;;;1763;engraving;engraving on paper;trimmed;Anonymous gift;IMG_92.17.137.jpg;sheet: 9 1/16 x 16 1/8 in. (23 x 41 cm);sheet;medium
12009;Landscape with Cattle and Buildings;Aelbert Cuyp;;;17th century;drawing;chalk and wash on paper;;Gift of George S. Abrams;IMG_78.40.1.jpg;Overall: 3 3/8 x 10 1/8 in. (8.5 x 25.7 cm)frame: 15 1/4 x 19 5/16 in. (38.7 x 49 cm);Overall;small
10845;Untitled;Anonymous (French);;;ca. mid 17th c.;drawing;ink on paper;;Gift of Peggie Dwight;IMG_91.40.6.jpg;sheet: 8 5/16 x 12 1/8 in. (21.1 x 30.8 cm)frame: 16 9/16 x 19 3/4 in. (42 x 50.2 cm);sheet;medium
8858;Bath;Richard Diebenkorn;;;1960;painting;oil on canvas;;Bequest of Lawrence H. Bloedel; Class of 1923;IMG_77.9.32.jpg;frame: 68 1/8 x 63 in. (173 x 160 cm);
2177;Two Stumps of Driftwood;Philip Gilbert Hamerton;;;no date;etching;etching on paper;;Anonymous gift;IMG_92.17.53.jpg;sheet: 13 3/4 x 18 1/16 in. (35 x 45.8 cm)plate: 5 7/8 x 10 7/16 in. (14.9 x 26.5 cm);sheet;medium
11201;Landscape with River;Philip Gilbert Hamerton;;;no date;etching;etching on paper;two landscapes on one plate;Anonymous gift;IMG_92.17.51.B.jpg;sheet: 18 1/8 x 13 3/4 in. (46 x 34.9 cm)plate: 6 7/8 x 6 1/8 in. (17.4 x 15.5 cm);sheet;medium
14342;Weymouth Bay;Maxime Lalanne;;;1873;engraving;engraving on paper;;Anonymous gift;IMG_92.17.129.jpg;sheet: 9 13/16 x 13 3/4 in. (25 x 34.9 cm)plate: 6 5/16 x 8 1/16 in. (16.1 x 20.5 cm);sheet;medium
6294;M. Thiers;Léon Joseph Florentin Bonnat;;;no date;etching;etching;;Anonymous gift;IMG_92.17.110.A.jpg;Overall: 8 15/16 x 6 7/16 in. (22.7 x 16.3 cm);Overall;small
